Variable,Coefficient
(Intercept),-49070.0220973009
number_of_cylindersfive,-5962.70076158754
stroke,-4284.66087119028
makemitsubishi,-3466.51190743132
number_of_cylindersfour,-3395.29787219563
engine_typeohcv,-3058.60521508483
makesubaru,-2859.2310051002
makevolvo,-2828.66379974334
makedodge,-2586.76566090851
makeplymouth,-2558.03343362399
makepeugot,-2415.67906676314
fuel_typegas,-2185.22009778598
number_of_cylinderssix,-2016.05017373937
makemazda,-1907.03957094748
maketoyota,-1849.80319050083
makevolkswagen,-1762.14349447147
makehonda,-1147.60884940315
makenissan,-1114.00497457117
number_of_doorstwo,-942.698488986589
makesaab,-889.388168385572
symboling,-281.694991230364
highway_mpg,-96.1050875689144
peak_rpm,1.7326886938531
normalized_losses,15.8455706394639
engine_size,88.5153317434618
width,930.9573991126
engine_typeohc,2512.34098883354
aspirationturbo,3060.49911438447
engine_typerotor,4168.85318918469
makebmw,6225.94043090641
makemercedes-benz,6370.06233112476
